page_id,zh_translation,translator_note,translator,status
832,"昨日，五名韩国记者讲述了一次前往汉城的行程，称曾四次采访金某。据其所述，金某担任朝鲜共产党北方支部的书记，并正筹划在朝鲜进行政治活动。该记者描述金某相貌英俊，身材高大，超过普通朝鲜人。

中国民主同盟发言人罗隆基表示，一旦获得满意的保证，民盟将立即停止罢工。

前来拜访的人士包括：中国军事代表团莫玉书将军与周念邦将军、外交部特派员钟瑞南先生、当地国民党负责人陈苏先生、中华总商会主席董仲华先生、中华厂商联合会主席叶兰泉先生、何东爵士以及其他知名商界人士。

一名记者在绥远省集宁（位于北平西北约200英里，长城以北50英里）发出的电讯中称，他与中共将领孙志远进行了四小时的会谈。孙志远是绥远及山西地区的政治部主任，也是延安政府中最具权势的人物之一。

“在享用了一顿丰盛的十七道菜中餐后，我前往他的办公室，饮用了数壶茶，听他畅谈中共在中国的目标。”

“这位将军现年36岁，原为北平的一名教师，九年前中日战争爆发之初加入共产党，成为一名游击队员。”

“解决中国问题的出路在于建立一个真正民主的联合政府，代表所有政治派别。这样的政府或许可以通过目前正在举行的会议来组建。”

“在集宁城外五英里处，有若干煤矿，自去年九月共产党占领该城后已重新开采。”

据昨日中共方面电讯报道，热河省赤峰的所有苏联军队已于1月23日撤离。

民盟指控

中国民主同盟发言人声称，警方还以进行人口普查为借口，搜查了重庆的中共办事处，以及史良律师（民盟成员）、救国会成员张申府教授（民盟出席政治协商会议的代表之一）的住所。

罗隆基表示，政治协商会议各小组委员会已达成协议，将总统的紧急权力移交至改组后的国务委员会。该委员会得以五分之三多数票否决总统的否决权。

沃德称，他计划要求……（此处原文残缺）……国民党所主导。……（此处原文残缺）……在国内享有盛誉。……（此处原文残缺）……针对苏联的指控……（此处原文残缺）……莫斯科在十二月时，问题……（此处原文残缺）……法国船只……（此处原文残缺）

……（此处原文残缺）……当国民党在三个月内将中共军队整编为20个师时，……（此处原文残缺）……处理该问题的小组委员会……（此处原文残缺）……“将实际可行的方案付诸实施”的建议在此由……（此处原文残缺）……孟买，1月25日……（此处原文残缺）……承认南斯拉夫……（此处原文残缺）……该报称“某些……”（此处原文残缺）

【校订说明】本页为整版港报 OCR，混栏严重；正文混入与主题无关的国际新闻片段（朝鲜半岛（韩国记者访朝、朝鲜共产党北方支部）及印度、南斯拉夫承认等），仅摘译民盟/国共/政协相关内容。",hathitrust 整版 OCR 混排页标注,cloud-model-revision-v1,machine-annotated
833,"**重庆**

周恩来将军昨日已返回延安，向中共领袖毛泽东提交报告，预计今日将返回此地。

民盟的罢工导致原定于今日举行的政治协商会议两个小组委员会会议被取消。其中一个会议是讨论政府改组问题的机构。尽管已决定改组国务委员会，国民党占20席，其他党派及无党派人士占20席，但此事因……而陷入僵局。

这些来自三个选举区（人口不足两万的社区）的零星结果——分别位于慕尼黑附近、纽伦堡附近以及黑森省——显示，共产党和极右翼在这三个选区的得票率均告失败。

中共总司令向记者报告称，局势平静，无论是共产党还是国民党军队均未发生战斗。

**重庆，1月28日**
中国民主同盟在抗议重庆警方搜查其部分成员住宅而退出24小时后，已将其代表派回中国的统一会议。

**苏联撤军**
**延安，1月28日**
新华社今晚报道，苏联军队已从赤峰撤出，该地已由当地部队接管。该新闻机构称，占领军既非国民党也非共产党，但未更确切地指明其身份。

【校订说明】本页为整版港报 OCR，混栏严重；正文混入与主题无关的国际新闻片段（德国地方选举（慕尼黑、纽伦堡、黑森）等），仅摘译民盟/国共/政协相关内容。",hathitrust 整版 OCR 混排页标注,cloud-model-revision-v1,machine-annotated
835,"上海，10月23日
——据今日此间获悉，美国驻北平领事馆正就上周五失踪的一架中央航空运输公司货机上的美国飞行员哈特·摩尔上尉及两名中国机组人员的下落，向中共方面进行查询。该领事馆已建议航空公司暂缓派遣地面救援队，直至收到中共方面的答复。

在香港消防队服役八个月后，他于1939年调至税务局担任临时职务。他说，中共的支持在过去五年间有所增加。

托马斯承诺了79名中共人员的姓名。

民盟领导人对中共的支持未予置评。

“最可耻的演说”
“共产党议员在下院爆发”

愤怒的“坐下”喊声打断了共产党议员威廉·加拉赫的发言。他声明自己与已通过的动议无关，并谴责了他所称的“与此事相关的铺张浪费”。

首次会议讨论了由共产党控制的法国总工会提出的近乎最后通牒的要求：在全国范围内以总罢工相威胁，要求加薪超过50%。

法国市政选举的结果显示，尽管……，但共产党在法国仍获得了每三名选民中一人的信任。

……日呼吁世界各地的共产党人及其同情者共同参与。

他的言论刊登在共产党报纸《真理报》的两版专刊上，首次披露了他在波兰九国会议前对国际形势的总结，该会议导致了贝尔格莱德国际共产党情报局的成立。他向美国“帝国主义者”发出了“不姑息”的警告，这一基调也出现在九国共产党会议发表的宣言中。这位俄国人宣称：“正如过去的慕尼黑政策解开了希特勒侵略的束缚，对美国新路线及帝国主义阵营的让步，只会使其煽动者更加放肆和具有侵略性。”——美联社

【校订说明】本页为整版港报 OCR，混栏严重；正文混入与主题无关的国际新闻片段（英国下院（共产党议员加拉赫）、法国总工会罢工与市政选举、波兰九国会议与共产党情报局成立等），仅摘译民盟/国共/政协相关内容。",hathitrust 整版 OCR 混排页标注,cloud-model-revision-v1,machine-annotated
836,"**参与共产党叛乱**

内政部发言人表示，中国民主同盟参与“共产党叛乱”反对政府一事，早已为中国人民所熟知。政府为维持治安，不得不对民盟成员适用“后方共产党处置办法”。该发言人指责民盟试图在满洲煽动反对政府的叛乱、在中国本土策动学潮，并制造上海的劳工纠纷。

中国民主同盟是全国第三大政党，中国共产党位居第二。其成员人数从未公开，因为在其存续期间，始终在惧怕政府镇压的阴影下运作。然而，据估计，其实际基层党员人数仅略多于五万人，这与国民党和共产党各自声称的约两百万党员形成鲜明对比。

民盟在促成国民党与共产党于1945年底重新接触方面发挥了关键作用，并在起草旨在实现中国军队国家化、政府民主化及恢复交通的决议中承担了领导职责，但这些决议如今已被忽视。

（昨日下午，）……对在长江沿岸集结的共产党纵队发动攻势。

中国航空公司周一晚间宣布，其一架C-47运输机在延安以北150英里的榆林附近被共产党地面火力击落。

……通过飞机……据称……共产党……

……决心“不惜一切代价”阻止戴高乐。存在一种可能性，即共产党可能投弃权票，而不是投票反对拉马迪埃。——合众社

……他们是共产党人。
其中一人——编剧约翰·霍华德·劳森——已采取对抗态度，并被控藐视国会。
律师罗伯特·W·肯尼也表示，他将建议其他18人采取同样行动，因为这似乎是获得法庭对听证会合法性进行审判的最佳可行途径。
肯尼先生的委托人——包括演员拉里·帕克斯、导演刘易斯·迈尔斯通和编剧小林·拉德纳——认为调查违宪，并誓言将使用一切合法手段“废除这个自称……的邪恶事物”。

……伍德，拉弗里说，许多作家不愿加入公会，因为他们担心会被称作“共产党人”。

……共产党可能应对……负责。

枢密院议长、下院政府领袖赫伯特·莫里森先生在瓦尔德隆·史密瑟斯爵士（保守党）询问首相是否会效仿美国国会非美活动委员会设立一个委员会时，大声喊道“不”。瓦尔德隆爵士追问莫里森先生：“鉴于共产党渗透的威胁迅速增加，我是否可以请问首相，他是否会公开站出来，提出一项法案，宣布共产党非法、没收其资金，并在为时已晚之前摊牌？”下院笑声一片，其中包括两名共产党议员。莫里森回答说：“答案仍然是不。在我看来，政党可以对付共产党。我们不怕他们，我不明白这位议员为何如此。我也不知道他为何要排除其他颠覆性利益集团。”——合众社

……今晚会见外交大臣欧内斯特·贝文先生，并宣称意大利永远不会成为一个共产主义国家。

【校订说明】本页为整版港报 OCR，混栏严重；正文混入与主题无关的国际新闻片段（法国政局（拉马迪埃、戴高乐）、美国国会非美活动委员会好莱坞听证（劳森、拉德纳）、英国下院共产党非法化辩论、意大利政局等），仅摘译民盟/国共/政协相关内容。",hathitrust 整版 OCR 混排页标注,cloud-model-revision-v1,machine-annotated
837,"接管中国民主同盟总部，民盟成员被置于警方监视之下。

民盟大楼此前曾由中共人员占用，目前正受到监视，但迄今尚无逮捕报告。

张澜将军抵达后，随即拜访了国民参政会秘书长、国民党自由派成员邵力子，试图争取其出面干预。

民盟宣布该宪法为非法，并已成为中共的分支机构。该声明还声称，民盟计划在华南发动武装起义以支援李济深。

五名中国海关雇员被自称是中共人员的武装便衣扣押了两天两夜。这些雇员是在上周六夜间对三个边境海关哨所发动的突袭中被绑架的，并于周二抵达香港。

但我们被命令与警卫一同看守我们。
“周日稍晚时候，一位学者模样的人来访，告诉我们袭击者是中共人员。随后他阐述了共产主义的‘优点’，并建议我们不要为政府工作。
“日落之后不久，我们再次被押解上路，翻山越岭，直至次日清晨。
我们再次被囚禁在一间茅屋里，门口有哨兵看守。

巴西战争部宣称玻利维亚中共人员发动了袭击。

此次示威发生在国民大会一场激烈会议结束仅数小时后。在那次会议上，法国总理保罗·拉马迪埃要求中共议会领袖雅克·杜克洛就其针对政府的一项指控提供证据，否则就“闭嘴”。

当人群聚集在瓦格拉姆大厅前时，身着法国三色旗绶带的圣但尼中共市长爬上一根灯柱，开始向人群发表讲话。

他指控拉马迪埃企图对中共党给予决定性打击。

南京方面对被称为中国民主同盟的强大自由派少数派团体采取的行动，几乎必然会被外部观察家视为一个重大错误。这并非暗示此举完全出人意料。恰恰相反，此事早有预兆，早有端倪。然而，人们曾希望更明智的意见能够占上风，希望国民党能避免使自己陷入如今已完全暴露的指控之中。为镇压民主政党而给出的理由，只会让那些不容忍反对派以及那些一心维护政治现状的人信服。

国民党领导人声称信奉民主原则的诚意。此举除了获得以任何借口或毫无借口进行任意逮捕和监禁的权力之外，一无所获。事实上，这一行动及其背后的精神，最令人联想到的莫过于近期在苏联控制区发生的事件。

英国因自私的帝国主义行径而受到谴责——甚至在美国——才过去多久？因为英国帮助希腊政府对抗中共企图摧毁其独立的行动，而被视为巴尔干乱局中的主要恶棍。英国军队应希腊历届政府的紧急请求才留在希腊这一事实，被斥为无关紧要。但当英国政府无法再独自承担支持希腊抵抗侵略的重担时……

这是一件相当重要的事情。意大利、土耳其以及法国都将如此看待此事。在这些国家，未能抵御东南欧中共政府侵略策略的后果，将被视为构成了一个危险且令人沮丧的先例。与此同时，不能忽视这样一种可能性，即联合国大会的决议可能会引发西方主要国家与苏联伙伴之间政治实力和影响力的直接较量。

“我让你拒绝一切！你——你这个中共分子！”

【校订说明】本页为整版港报 OCR，混栏严重；正文混入与主题无关的国际新闻片段（法国政局（拉马迪埃、杜克洛、巴黎示威）、巴西-玻利维亚冲突、希腊与巴尔干局势、意大利与土耳其等），仅摘译民盟/国共/政协相关内容。",hathitrust 整版 OCR 混排页标注,cloud-model-revision-v1,machine-annotated
840,"**北平约两千人举行群众大会，谴责“俄国帝国主义”，并指控共产党为“苏联工具”**

（美联社讯）据莫斯科电台今日援引雅典报道称，希腊共产党已宣布将不参加即将举行的……

**“总统”办公室致“共党”报纸函件全文——2月22日新闻**

该函件显然显示反共情绪，并企图破坏盟国间的团结与政治协商会议的威望。

“如果这些阴谋分子和代理人得逞，那些拥护民主的人士——他们的自由与生命将毫无保障。那么，我们又怎能谈论政治民主与盟国合作呢？
“这些暴行……损害了政府的尊严……”

**民盟就2月22日暴徒袭击其报社事件向政府提出抗议**

中国民主同盟已就2月22日暴徒闯入其报纸《光明报》营业部一事向政府提出抗议。

这封由民盟领袖张澜亲笔写给蒋介石委员长的信函，措辞严厉。

张澜将此次袭击事件与近期警方搜查民盟一位知名成员住宅的行为相提并论，并指出，如果委员长对肇事者从轻发落，民盟将深感怀疑。

张澜要求政府作出明确保证，杜绝此类事件再次发生。——美联社

**民盟在满洲问题上的立场**

重庆，2月25日电。昨日，张澜……

……会议，以处理政府与共产党在满洲出现的各种问题。
张澜坚持认为，局势必须尽快解决，但强调任何行动都不得违背……

【校订说明】本页为整版港报 OCR，混栏严重；正文混入与主题无关的国际新闻片段（希腊共产党（雅典）、反俄示威及盟国团结等），仅摘译民盟/国共/政协相关内容。",hathitrust 整版 OCR 混排页标注,cloud-model-revision-v1,machine-annotated
846,"**（1947年×月×日，香港电）**

蒋介石由蒋夫人陪同，计划深入满洲中共新攻势的腹地进行视察。蒋的秘书称，总统计划在北平停留数日，尚未决定是否在返京前继续北上。

他抵达之际，针对北平""中共地下组织""的搜捕行动进一步扩大，甚至在其华北行辕内部亦有人被捕。

**（路透社×月×日电）**

中共电台监听记录显示，中共最新宣传攻势将蒋介石作为攻击目标。

国民党，他补充道，在其存在的五十年中，在某些领域确已取得不少成就，但以""耕者有其田""为终极目标的民生主义原则所制定的政策，至今仍只是一句口号。

**（柏林讯）**

美国军政府消息人士在柏林称，苏联已开始对西德发动共产主义宣传入侵，美英两国因新闻纸供应匮乏而无力抗衡。

**（×××讯）**

亨德森先生称，共产党人试图在世界上散布一种误解，即在山中作战的希腊游击队是在为自由而战。

共产党核心分子及坚定追随者不超过百分之三十至四十，其余皆为沦为共产党领袖工具的普通罪犯与土匪。

**（×××讯）**

他断言：""中共军队距离缅甸边境尚远，不可能有逃兵进入缅甸领土。""

**（联合国讯）**

维辛斯基先生对马歇尔先生批评苏联不合作所作的激烈反驳，进一步加深了国际局势上普遍存在的悲观情绪。普遍反应是，此举扩大了东西方之间的裂痕；但很难看出，一次这样的爆发究竟如何能使本已糟糕的局面真正恶化。这篇演说中没有任何内容不是过去数月来共产主义宣传的惯常论调。其性质——是反击，而非对事实性批评的理性回应——完全符合自安理会成立之初苏联的一贯策略。人们记得，当时苏联对波斯控诉的回应，便是反过来指控英国在希腊和印度尼西亚的行为。事实上，人们不禁要问，维辛斯基先生为何拖延了21小时才发表这番如今可被视为苏联对任何控诉——无论多么合理——的标准回应模式。

**（萨尔区讯）**

间接地，他们将对与法国经济联盟的计划进行投票。该计划得到该地区四个主要政党中三个——基督教社会党、社会党和民主联盟——的支持，但遭到共产党反对。

法国所有政党——除共产党外——均赞成该地区与法国合并。法国共产党尚未表明其立场。

【校订说明】本页为整版港报 OCR，混栏严重；正文混入与主题无关的国际新闻片段（柏林（苏联对西德宣传）、希腊游击队（亨德森）、缅甸边境、联合国安理会（维辛斯基-马歇尔论战）、萨尔区公投等），仅摘译民盟/国共/政协相关内容。",hathitrust 整版 OCR 混排页标注,cloud-model-revision-v1,machine-annotated
849,"民主同盟执行委员会（由中共与社会统一党组成的集团）将于今日稍晚讨论该提案，马诺·佩卡拉总理将出席。

预计该提案将比捷克更倾向于东欧共产党集团。当共产党总理克莱门特·哥特瓦尔德提出建立共产党控制政府的请求时，已无抵抗力量。

共产党以言语威胁贝奈斯总统。他们将捷克斯洛伐克描绘成内部纷争撕裂、政治斗争血染的国家。共产党有能力制造此类麻烦。

共产党攻势。

尽管共产党在预测中取得胜利，但今日政府消息人士对沈阳的防御表示信心，据称有三个国民党军团在此固守，以应对任何直接的共产党进攻。同一消息人士强调，共产党能在满洲取得当前优势，并非由于国民党缺乏武装力量。

民盟声明发表之际，正值蒋介石委员长向张学良、万福麟、马占山、邹作华等将军保证，政府将调遣强大兵力前往满洲，执行既定政策，坚守国土以抵御共产党。

这些将军主张在共产党控制区内开展广泛地下活动。据信，这四位将军在其前部下（现正于共产党阵营作战）及民众中拥有相当影响力。他们建议给予机会，在共产党战线后方组织强大的游击队。

这些前满洲国军成员现与民众及共产党并肩作战。

吴铁城先生与董显光博士最近称本盟为“伪装之共产党组织”，实属荒谬至极。

一段时间以来，国民党反动派惯于将所有反对派人士称为“共产党”。

指责本盟“参与叛国”同样荒谬。众所周知，国民党反动派为与共产党作战，已出卖中国主权。

若南京国民党反动派之言论成为迫害旅居中国境内民盟成员的借口，此种侵犯人权之罪行，终将在中国人民面前得到清算。

【校订说明】本页为整版港报 OCR，混栏严重；正文混入与主题无关的国际新闻片段（芬兰（马诺·佩卡拉总理）、捷克斯洛伐克共产党夺权（哥特瓦尔德、贝奈斯）等），仅摘译民盟/国共/政协相关内容。",hathitrust 整版 OCR 混排页标注,cloud-model-revision-v1,machine-annotated
850,"**（汉口电）** 首批美国侨民撤离行动表明，中共在华中及华北的威胁已日趋严重。这些侨民受美国驻汉口领事馆指示，撤离该区域，并前往他处（最好为香港）继续其工作。

吉尔伯森小姐（Miss Gilbertson）称，该校所在社区并无反美情绪迹象。主要危险在于可能被中共切断与外界的联系。

中共与国民党之间的冲突仍在持续。

**（新华社电）** 中共电台今日引述中共中央发言人谈话，对“中国民主同盟在香港恢复活动”以及“李济深将军领导的中国国民党革命委员会之成立”表示“欢迎”。该电台称：“在民主革命的新事业中，我们愿与诸君携手并进。”

中国民主同盟近日指责国民政府，在军事基地与内河航行权问题上向美国“出卖主权”，其行为实属“卖国”。

要理解爱德华·贝奈斯（Eduard Benes）在哥特瓦尔德（Gottwald）新捷克内阁中，为十几位共产党部长主持宣誓就职仪式时发表演说的心境，必须回溯四十年前的历史。

此次清洗波及马德拉斯省（Madras Province）权势显赫的王公，以及地位卑微的共产党农民。

在中央议会下届会议中，唯一可能对尼赫鲁-帕特尔（Nehru-Patel）联盟构成有效反对的力量，仅剩共产党与社会党。

共产党虽人数不多，但其代理人已牢固地扎根于工厂车间委员会之中。

哥特瓦尔德领导下的共产党内阁，其就职仪式不过是一种形式上的礼遇，是哥特瓦尔德与斯大林所施予的恩惠。他（贝奈斯）想必也清楚，自己作为总统的地位已岌岌可危。

有理由相信，戴高乐将军（General de Gaulle）与除共产党外各主要政党议会领袖之间的接触，目前正在进行中。

**意大利共产党：下一个目标？**
——约翰·M·海托华（John M. Hightower）撰文

官员们坚称，鉴于捷克斯洛伐克共产党夺权所引发的欧洲动荡、芬兰局势的发展以及意大利即将面临的斗争，当前这一日期比当初选定之时更为重要。

【校订说明】本页为整版港报 OCR，混栏严重；正文混入与主题无关的国际新闻片段（捷克斯洛伐克（贝奈斯、哥特瓦尔德）、印度（马德拉斯清洗、尼赫鲁-帕特尔联盟）、法国（戴高乐）、意大利共产党前景等），仅摘译民盟/国共/政协相关内容。",hathitrust 整版 OCR 混排页标注,cloud-model-revision-v1,machine-annotated
851,"**韩国自主发电能力提升**
自共产党主导的北朝鲜人民委员会切断苏联占领区发电厂供电以来，韩国发电量已有所增加。

**民主同盟成员提出抗议**

中国民主同盟（民盟）昨日在香港披露，该盟两位主要领导成员……（原文残缺）

上图所示为新人与他们的随从站立于国民党高级官员王龄渠先生面前，由王先生主持婚礼。

上图所示为新人与他们的随从站立于国民党高级官员王龄渠先生面前，由王先生主持婚礼。

……第三方面总统候选人致苏联总理的信函……

一场针对所有反共、反俄分子的“残酷”清洗已通过惯常手段实施。大量在故土自由生活了二十年、并代表其人民中占主导地位的多数人消失了。其中很大一部分被运往西伯利亚，甚至更远的地方。

好莱坞，5月17日。
联合国的一项“主要任务”是立即对中东石油实施国际管制，美国第三方面总统候选人亨利·华莱士先生昨晚在此地表示。
他说，“英美石油托拉斯”是美苏以及犹太-阿拉伯纷争的根源。
他表示，美国承认新成立的以色列国，“必须继之以向阿拉伯封建领主——他们实为英美石油的傀儡——发出最后通牒，要求他们放下武器。”——路透社

代表们通过拒绝听取约翰·普拉茨-米尔斯先生的演讲，含蓄地重申了他们对该党外交政策的赞同。普拉茨-米尔斯先生是议会议员，在组织了一封向意大利选举中支持共产党的南尼社会党人表达良好祝愿的电报后，最近脱离了该党。

共产党人或左翼社会党人，他本打算发表演讲，他说：“难道我们要永远与他们关系恶劣，还是再次与他们交往？”他问道。
“如果你不这样做，那么在支持丘吉尔先生和杜鲁门总统对欧洲工人发动冷战的道路上，就没有任何停止点。”
“这就是我总体政治行为的本质。无论你们是否要我回来，我恳求你们拯救这个党，使其摆脱正将其引向毁灭、并将英国引向战争之路的领导层。”

共产党人。
“午餐时，伊丽莎白公主……”

【校订说明】本页为整版港报 OCR，混栏严重；正文混入与主题无关的国际新闻片段（朝鲜半岛（北朝鲜切断供电、韩国发电）、美国（华莱士第三党、以色列与中东石油）、英国工党（普拉茨-米尔斯）、意大利南尼社会党等），仅摘译民盟/国共/政协相关内容。",hathitrust 整版 OCR 混排页标注,cloud-model-revision-v1,machine-annotated
