page_id,document_id,doc_key,batch7_bucket,disposition_code,disposition_label,priority_queue,reocr_priority,citation_eligible,citation_ready_conflict,demote_citation_ready,text_length,recommended_action
20708,1527,domestic-ocr/SAAC:domestic:SAAC:51koukou-p03-dde03-f1,Q0_EMPTY,D0_EMPTY_LIKELY_BLANK,空文本且影像偏小（疑似空白/低信息页）,P0_EMPTY,1,no,no,no,0,保留结构页；低优先级重 OCR；citation 禁止
20718,1530,domestic-ocr/SAAC:domestic:SAAC:51koukou-p04-dde01-i3,Q0_EMPTY,D0_EMPTY_NEEDS_REOCR,空文本但有影像（OCR 失败）,P0_EMPTY,3,no,no,no,0,高优先级重 OCR；核验前 citation 禁止
20762,1541,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde05-i3,Q0_EMPTY,D0_EMPTY_HANDWRITING,空文本且题名/语境提示签到手写,P0_EMPTY,3,no,no,no,0,高优先级手写/版式 OCR 或人工著录要点；citation 禁止
20763,1541,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde05-i3,Q0_EMPTY,D0_EMPTY_HANDWRITING,空文本且题名/语境提示签到手写,P0_EMPTY,3,no,no,no,0,高优先级手写/版式 OCR 或人工著录要点；citation 禁止
20764,1541,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde05-i3,Q0_EMPTY,D0_EMPTY_HANDWRITING,空文本且题名/语境提示签到手写,P0_EMPTY,3,no,no,no,0,高优先级手写/版式 OCR 或人工著录要点；citation 禁止
20766,1541,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde05-i3,Q0_EMPTY,D0_EMPTY_HANDWRITING,空文本且题名/语境提示签到手写,P0_EMPTY,3,no,no,no,0,高优先级手写/版式 OCR 或人工著录要点；citation 禁止
1650,1067,domestic-ocr/NLC:guangmingbao-1948-v1n12-full-ocr,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,11,对照影像判断截断/图注；citation 禁止
1775,1109,domestic-ocr/NLC:minmeng-wenxian-1946-alternate-front-ocr,Q3_OCR_SUSPECT,D2_LIBRARY_STAMP,馆藏章/索书号页,P1_OCR_OR_FRAGMENT,0,no,no,no,14,保留结构用途；不作为正文证据；citation 禁止
1776,1109,domestic-ocr/NLC:minmeng-wenxian-1946-alternate-front-ocr,Q3_OCR_SUSPECT,D2_LIBRARY_STAMP,馆藏章/索书号页,P1_OCR_OR_FRAGMENT,0,no,no,no,27,保留结构用途；不作为正文证据；citation 禁止
1778,1110,domestic-ocr/NLC:minmeng-yanlunji-1945-front-ocr,Q3_OCR_SUSPECT,D4_COVER_TITLE,封面/版权/题名页短文本,P1_OCR_OR_FRAGMENT,0,no,no,no,23,结构保留；citation 禁止（可用作题名辅助）
18448,1242,domestic-page/SSID-13679264,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,1,对照影像判断截断/图注；citation 禁止
17435,1246,domestic-page/NLC404-00J001436-85454,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,P1_OCR_OR_FRAGMENT,0,no,no,no,11,保留刊期定位；不作为正文引用
17123,1247,domestic-page/NLC404-00J001436-85448,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,P1_OCR_OR_FRAGMENT,0,no,no,no,11,保留刊期定位；不作为正文引用
17174,1248,domestic-page/NLC404-00J001436-85452,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,P1_OCR_OR_FRAGMENT,0,no,no,no,9,保留刊期定位；不作为正文引用
17327,1249,domestic-page/NLC404-00J001436-85446,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,P1_OCR_OR_FRAGMENT,0,no,no,no,11,保留刊期定位；不作为正文引用
17380,1250,domestic-page/NLC404-00J001436-85449,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,P1_OCR_OR_FRAGMENT,0,no,no,no,11,保留刊期定位；不作为正文引用
17074,1251,domestic-page/NLC404-00J001436-85451,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,P1_OCR_OR_FRAGMENT,0,no,no,no,12,保留刊期定位；不作为正文引用
16933,1252,domestic-page/NLC404-00J001436-85443,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,P1_OCR_OR_FRAGMENT,0,no,no,no,11,保留刊期定位；不作为正文引用
16980,1253,domestic-page/NLC404-00J001436-85445,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,P1_OCR_OR_FRAGMENT,0,no,no,no,9,保留刊期定位；不作为正文引用
17225,1254,domestic-page/NLC404-00J001436-85447,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,P1_OCR_OR_FRAGMENT,0,no,no,no,11,保留刊期定位；不作为正文引用
16843,1255,domestic-page/NLC404-00J001436-85453,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,P1_OCR_OR_FRAGMENT,0,no,no,no,12,保留刊期定位；不作为正文引用
17276,1256,domestic-page/NLC404-00J001436-85450,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,P1_OCR_OR_FRAGMENT,0,no,no,no,11,保留刊期定位；不作为正文引用
16888,1257,domestic-page/NLC404-00J001436-85455,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,P1_OCR_OR_FRAGMENT,0,no,no,no,13,保留刊期定位；不作为正文引用
17027,1258,domestic-page/NLC404-00J001436-85442,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,P1_OCR_OR_FRAGMENT,0,no,no,no,9,保留刊期定位；不作为正文引用
16802,1259,domestic-page/NLC404-00J001436-85444,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,P1_OCR_OR_FRAGMENT,0,no,no,no,11,保留刊期定位；不作为正文引用
16694,1286,domestic-page/NLC404-01J000514-10514,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,24,对照影像判断截断/图注；citation 禁止
19385,1290,domestic-page/SRC-088458899f,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,7,对照影像判断截断/图注；citation 禁止
19386,1290,domestic-page/SRC-088458899f,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,9,对照影像判断截断/图注；citation 禁止
19387,1290,domestic-page/SRC-088458899f,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,1,对照影像判断截断/图注；citation 禁止
19931,1290,domestic-page/SRC-088458899f,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,7,对照影像判断截断/图注；citation 禁止
19932,1290,domestic-page/SRC-088458899f,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,14,对照影像判断截断/图注；citation 禁止
19933,1290,domestic-page/SRC-088458899f,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,7,对照影像判断截断/图注；citation 禁止
20048,1290,domestic-page/SRC-088458899f,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,5,对照影像判断截断/图注；citation 禁止
20049,1290,domestic-page/SRC-088458899f,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,7,对照影像判断截断/图注；citation 禁止
20135,1290,domestic-page/SRC-088458899f,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,7,对照影像判断截断/图注；citation 禁止
19346,1291,domestic-page/SRC-257bb7be70,Q3_OCR_SUSPECT,D4_COVER_TITLE,封面/版权/题名页短文本,P1_OCR_OR_FRAGMENT,0,no,no,no,14,结构保留；citation 禁止（可用作题名辅助）
17506,1292,domestic-page/NLC511-027032016010761-42571,Q3_OCR_SUSPECT,D4_COVER_TITLE,封面/版权/题名页短文本,P1_OCR_OR_FRAGMENT,0,no,no,no,24,结构保留；citation 禁止（可用作题名辅助）
17610,1292,domestic-page/NLC511-027032016010761-42571,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,11,对照影像判断截断/图注；citation 禁止
17612,1292,domestic-page/NLC511-027032016010761-42571,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,10,对照影像判断截断/图注；citation 禁止
17613,1293,domestic-page/NLC416-01jh004281-12557,Q3_OCR_SUSPECT,D4_COVER_TITLE,封面/版权/题名页短文本,P1_OCR_OR_FRAGMENT,0,no,no,no,6,结构保留；citation 禁止（可用作题名辅助）
17614,1293,domestic-page/NLC416-01jh004281-12557,Q3_OCR_SUSPECT,D4_COVER_TITLE,封面/版权/题名页短文本,P1_OCR_OR_FRAGMENT,0,no,no,no,29,结构保留；citation 禁止（可用作题名辅助）
17788,1293,domestic-page/NLC416-01jh004281-12557,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,7,对照影像判断截断/图注；citation 禁止
17789,1294,domestic-page/NLC511-027032013012333-19131,Q3_OCR_SUSPECT,D2_LIBRARY_STAMP,馆藏章/索书号页,P1_OCR_OR_FRAGMENT,0,no,no,no,14,保留结构用途；不作为正文证据；citation 禁止
17790,1294,domestic-page/NLC511-027032013012333-19131,Q3_OCR_SUSPECT,D2_LIBRARY_STAMP,馆藏章/索书号页,P1_OCR_OR_FRAGMENT,0,no,no,no,27,保留结构用途；不作为正文证据；citation 禁止
17965,1294,domestic-page/NLC511-027032013012333-19131,Q3_OCR_SUSPECT,D2_LIBRARY_STAMP,馆藏章/索书号页,P1_OCR_OR_FRAGMENT,0,no,no,no,27,保留结构用途；不作为正文证据；citation 禁止
17966,1294,domestic-page/NLC511-027032013012333-19131,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,P1_OCR_OR_FRAGMENT,0,no,no,no,7,保留刊期定位；不作为正文引用
20623,1468,domestic-web/DL-20260802-049,Q4_FRAGMENT,D1_BINARY_GARBAGE,正文槽位写入二进制/图片头,P1_OCR_OR_FRAGMENT,0,no,no,no,5,清空伪文本并改挂影像 provenance；citation 禁止
20679,1515,domestic-ocr/SAAC:domestic:SAAC:51koukou-p01-dde20,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,16,对照影像判断截断/图注；citation 禁止
20681,1515,domestic-ocr/SAAC:domestic:SAAC:51koukou-p01-dde20,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,4,对照影像判断截断/图注；citation 禁止
20684,1516,domestic-ocr/SAAC:domestic:SAAC:51koukou-p01-dde21,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,22,对照影像判断截断/图注；citation 禁止
20689,1517,domestic-ocr/SAAC:domestic:SAAC:51koukou-p01-dde22-i3,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,26,对照影像判断截断/图注；citation 禁止
20700,1525,domestic-ocr/SAAC:domestic:SAAC:51koukou-p03-dde01-f1,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,P1_OCR_OR_FRAGMENT,2,no,no,no,17,对照影像判断截断/图注；citation 禁止
