page_id,document_id,doc_key,title,page_label,text_length,disposition_code,source_id,source_file,page_image_path,pdf_page_no,physical_page_no,ocr_engine,ocr_mode,text_chars,citation_ready,needs_human_review,review_status,machine_review_note,batch_id,period,clear_binary_text,created_at,updated_at,action
1650,1067,domestic-ocr/NLC:guangmingbao-1948-v1n12-full-ocr,《光明報》1948年第一卷第十二期（OCR试点）,01,11,D6_OCR_GARBLED,domestic-pilot-missing-prov,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10514_%E5%85%89%E6%98%8E%E5%A0%B1_1948%E5%B9%B41%E5%8D%B712%E6%9C%9F.pdf#page=01,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10514_%E5%85%89%E6%98%8E%E5%A0%B1_1948%E5%B9%B41%E5%8D%B712%E6%9C%9F.pdf#page=01,1,1,unknown-pre-provenance,legacy_import_without_provenance,11,0,1,review_only,DeepSeek Batch13 provenance stub for short page lacking page_provenance; disposition=D6_OCR_GARBLED; citation_ready forced 0,deepseek-batch13-20260807,1941-1950,no,2026-08-07T15:05:01Z,2026-08-07T15:05:01Z,INSERT_STUB
1775,1109,domestic-ocr/NLC:minmeng-wenxian-1946-alternate-front-ocr,《民主同盟文獻》1946年官方汇编交替扫描前页（OCR试点）,01,14,D2_LIBRARY_STAMP,domestic-pilot-missing-prov,https://commons.wikimedia.org/wiki/File:NLC511-027032013012333-19131_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf#page=01,https://commons.wikimedia.org/wiki/File:NLC511-027032013012333-19131_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf#page=01,1,1,unknown-pre-provenance,legacy_import_without_provenance,14,0,1,review_only,DeepSeek Batch13 provenance stub for short page lacking page_provenance; disposition=D2_LIBRARY_STAMP; citation_ready forced 0,deepseek-batch13-20260807,1941-1950,no,2026-08-07T15:05:01Z,2026-08-07T15:05:01Z,INSERT_STUB
1776,1109,domestic-ocr/NLC:minmeng-wenxian-1946-alternate-front-ocr,《民主同盟文獻》1946年官方汇编交替扫描前页（OCR试点）,02,27,D2_LIBRARY_STAMP,domestic-pilot-missing-prov,https://commons.wikimedia.org/wiki/File:NLC511-027032013012333-19131_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf#page=02,https://commons.wikimedia.org/wiki/File:NLC511-027032013012333-19131_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf#page=02,2,2,unknown-pre-provenance,legacy_import_without_provenance,27,0,1,review_only,DeepSeek Batch13 provenance stub for short page lacking page_provenance; disposition=D2_LIBRARY_STAMP; citation_ready forced 0,deepseek-batch13-20260807,1941-1950,no,2026-08-07T15:05:01Z,2026-08-07T15:05:01Z,INSERT_STUB
1778,1110,domestic-ocr/NLC:minmeng-yanlunji-1945-front-ocr,《中國民主同盟言論集》1945年选编前页（OCR试点）,01,23,D4_COVER_TITLE,domestic-pilot-missing-prov,https://commons.wikimedia.org/wiki/File:NLC511-027032016010761-42571_%E4%B8%AD%E5%9C%8B%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E8%A8%80%E8%AB%96%E9%9B%86.pdf#page=01,https://commons.wikimedia.org/wiki/File:NLC511-027032016010761-42571_%E4%B8%AD%E5%9C%8B%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E8%A8%80%E8%AB%96%E9%9B%86.pdf#page=01,1,1,unknown-pre-provenance,legacy_import_without_provenance,23,0,1,review_only,DeepSeek Batch13 provenance stub for short page lacking page_provenance; disposition=D4_COVER_TITLE; citation_ready forced 0,deepseek-batch13-20260807,1941-1950,no,2026-08-07T15:05:01Z,2026-08-07T15:05:01Z,INSERT_STUB
20623,1468,domestic-web/DL-20260802-049,《民盟宣布解散·公告与政府洽商之经过·通知盟员停止政治活动·一律免除登记可享合法自由》,full-text,5,D1_BINARY_GARBAGE,domestic-pilot-missing-prov,https://www.gxmm.gov.cn/Upload/img/2025-11-07/690da67967700.png,https://www.gxmm.gov.cn/Upload/img/2025-11-07/690da67967700.png,,,unknown-pre-provenance,legacy_import_without_provenance,5,0,1,review_only,DeepSeek Batch13 provenance stub for short page lacking page_provenance; disposition=D1_BINARY_GARBAGE; citation_ready forced 0; BINARY_GARBAGE_TEXT_CLEAR_RECOMMENDED,deepseek-batch13-20260807,1941-1950,yes,2026-08-07T15:05:01Z,2026-08-07T15:05:01Z,INSERT_STUB
1486,1054,domestic-ocr/NLC:minmeng-wenxian-1946-early-group:ocr-pilot,1944—1945早期文件页组（OCR试点）,029,79,D7_SHORT_BODY_CANDIDATE,domestic-pilot-missing-prov,https://commons.wikimedia.org/wiki/File:NLC416-01jh004281-12557_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf#page=029,https://commons.wikimedia.org/wiki/File:NLC416-01jh004281-12557_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf#page=029,29,29,unknown-pre-provenance,legacy_import_without_provenance,79,0,1,review_only,DeepSeek Batch13 provenance stub for short page lacking page_provenance; disposition=D7_SHORT_BODY_CANDIDATE; citation_ready forced 0,deepseek-batch13-20260807,1941-1950,no,2026-08-07T15:05:01Z,2026-08-07T15:05:01Z,INSERT_STUB
1626,1066,domestic-ocr/NLC:guangmingbao-1948-v1n1-full-ocr,《光明報》1948年第一卷第一期（OCR试点）,01,119,D7_SHORT_BODY_CANDIDATE,domestic-pilot-missing-prov,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10484_%E5%85%89%E6%98%8E%E5%A0%B1_1948%E5%B9%B41%E5%8D%B71%E6%9C%9F.pdf#page=01,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10484_%E5%85%89%E6%98%8E%E5%A0%B1_1948%E5%B9%B41%E5%8D%B71%E6%9C%9F.pdf#page=01,1,1,unknown-pre-provenance,legacy_import_without_provenance,119,0,1,review_only,DeepSeek Batch13 provenance stub for short page lacking page_provenance; disposition=D7_SHORT_BODY_CANDIDATE; citation_ready forced 0,deepseek-batch13-20260807,1941-1950,no,2026-08-07T15:05:01Z,2026-08-07T15:05:01Z,INSERT_STUB
1690,1069,domestic-ocr/NLC:guangmingbao-1949-v2n12-full-ocr,《光明報》1949年第二卷第十二期（OCR试点）,01,64,D7_SHORT_BODY_CANDIDATE,domestic-pilot-missing-prov,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-72821_%E5%85%89%E6%98%8E%E5%A0%B1_1949%E5%B9%B42%E5%8D%B712%E6%9C%9F.pdf#page=01,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-72821_%E5%85%89%E6%98%8E%E5%A0%B1_1949%E5%B9%B42%E5%8D%B712%E6%9C%9F.pdf#page=01,1,1,unknown-pre-provenance,legacy_import_without_provenance,64,0,1,review_only,DeepSeek Batch13 provenance stub for short page lacking page_provenance; disposition=D7_SHORT_BODY_CANDIDATE; citation_ready forced 0,deepseek-batch13-20260807,1941-1950,no,2026-08-07T15:05:01Z,2026-08-07T15:05:01Z,INSERT_STUB
1777,1109,domestic-ocr/NLC:minmeng-wenxian-1946-alternate-front-ocr,《民主同盟文獻》1946年官方汇编交替扫描前页（OCR试点）,03,38,D4_COVER_TITLE,domestic-pilot-missing-prov,https://commons.wikimedia.org/wiki/File:NLC511-027032013012333-19131_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf#page=03,https://commons.wikimedia.org/wiki/File:NLC511-027032013012333-19131_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf#page=03,3,3,unknown-pre-provenance,legacy_import_without_provenance,38,0,1,review_only,DeepSeek Batch13 provenance stub for short page lacking page_provenance; disposition=D4_COVER_TITLE; citation_ready forced 0,deepseek-batch13-20260807,1941-1950,no,2026-08-07T15:05:01Z,2026-08-07T15:05:01Z,INSERT_STUB
1779,1110,domestic-ocr/NLC:minmeng-yanlunji-1945-front-ocr,《中國民主同盟言論集》1945年选编前页（OCR试点）,02,33,D2_LIBRARY_STAMP,domestic-pilot-missing-prov,https://commons.wikimedia.org/wiki/File:NLC511-027032016010761-42571_%E4%B8%AD%E5%9C%8B%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E8%A8%80%E8%AB%96%E9%9B%86.pdf#page=02,https://commons.wikimedia.org/wiki/File:NLC511-027032016010761-42571_%E4%B8%AD%E5%9C%8B%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E8%A8%80%E8%AB%96%E9%9B%86.pdf#page=02,2,2,unknown-pre-provenance,legacy_import_without_provenance,33,0,1,review_only,DeepSeek Batch13 provenance stub for short page lacking page_provenance; disposition=D2_LIBRARY_STAMP; citation_ready forced 0,deepseek-batch13-20260807,1941-1950,no,2026-08-07T15:05:01Z,2026-08-07T15:05:01Z,INSERT_STUB
