doc_key,date,title,title_zh,grade,score,needs_review,reason
newspapersg:sundaytribune19451021-1-sundaytribune19451021-1.2.2,1945-10-21,Coalition Government For China Urged,敦促中国组织联合政府,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:maltribune19451022-1-maltribune19451022-1.2.3,1945-10-22,MR. TAN KAH KEE ACCLAIMED LEADER AT MASS RALLY,陈嘉庚在群众大会上获推为领袖,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
newspapersg:maltribune19451113-1-maltribune19451113-1.2.12,1945-11-13,China's Third Party May Break Deadlock,中国第三党或可打破僵局,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:maltribune19460128-1-maltribune19460128-1.2.13,1946-01-28,Democratic League Causes New Hitch In China Talks,民主同盟使中国谈判再生波折,核心文献,86,0,民主同盟与民盟核心人物或事件同时出现。
newspapersg:maltribune19460128-1-maltribune19460128-1.2.25,1946-01-28,TALKS ON REORGANIZATION OF CHINESE GOVERNMENT,关于改组中国政府的会谈,核心文献,86,0,民主同盟与民盟核心人物或事件同时出现。
newspapersg:indiandailymail19460320-1-indiandailymail19460320-1.2.4,1946-03-20,China's Charter Of Freedom,中国的自由宪章,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:maltribune19460320-1-maltribune19460320-1.2.19,1946-03-20,CHINA'S MAGNA CARTA,中国的大宪章,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:maltribune19460412-1-maltribune19460412-1.2.9,1946-04-12,Manchuria: Plan To End Strife Rejected,满洲：结束冲突方案遭拒,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:maltribune19460415-1-maltribune19460415-1.2.30,1946-04-15,Compromise Hopes In Chungking,重庆妥协希望,相关文献,76,0,出现 Democratic League，语境为中国内战、国民党、南京政府或海外华人政治活动。
newspapersg:nysp19460501-1-nysp19460501-1.2.40,1946-05-01,本坡民盟辦事處負責人對時局發表談話,本坡民盟办事处负责人就时局发表谈话,核心文献,92,0,直接出现中国民主同盟、民盟组织或海外分部。
