priority,event,claim,source,level_now,target_level,archive_to_check,action,status
P0,1947 民盟非法化,蒋介石"解散民盟"决策时间链（10-22 早于公开宣布 6 天）,DRNH 俞济时 10-22 呈件,L2,L1,DRNH 1947 原档影像 / 蒋介石日记 10-22 条,已取得官方公开水印影像12页中的2页；逐页核读并与蒋介石日记互证,待升L1
P0,1947 民盟非法化,蒋作战会报"有所指示"的具体内容（能证参与不能证拍板）,DRNH 10-23 蒋档批阅,L2,L1,DRNH 原档影像 / 蒋介石日记 10-23 条,已取得官方公开水印影像12页中的2页；逐页核实具体指示,待升L1
P1,1947 民盟非法化,杜斌丞处决确切日期（4/5/7 三说并存）,DRNH 祝绍周呈件,L4·时间冲突,L1,陕西省档案馆 / 上海《大公报》1947-10-10~15,跨源互证日期,待核
P1,1947 民盟非法化,洛维特电报背景与美援施压决策链,FRUS 1947v07/d273,L4,L1,NARA RG59 美国务院 1947-10~11 涉华决策档,调 NARA 档,待补
P1,1947 民盟非法化,港英对国府"取缔民盟"要求的实际回应,FRUS 1947v07/d290,L4,L1,英国国家档案馆 FO 371 1947-11~12,调 FO 371 档,待补
P2,1947 民盟非法化,王世杰"政府不再采取进一步行动"（单源孤证）,FRUS 1947v07/d279,L4·孤证,L2,王世杰日记 / DRNH 同期对位件,找国府内部对位,待核
P1,英方视角（通用）,英国系 4 卷宗（WO 208/4770、FCO 141/16965、CO 537/3724、CO 537/4820）,TNA Discovery 已核实全 Open,目录级,L1,TNA 复制服务 / 伦敦代查员 / HKPRO 副本,询价调档,待获取
P1,FRUS 卷,4 篇 ⭐ 关键档案 L1 优先,FRUS 待核问题与证据等级清单,L4,L1,FRUS 原文复核,逐篇复核,待升L1
P2,DRNH 卷,9 篇 LLM 自评误命中分组处置,DRNH 待核问题与证据等级清单,L4,—,人工复核分组,误命中复核,待处理
P1,CIA 卷,1949 罗隆基"被囚禁"vs FRUS"新政权要职"反向陈述核验,CIA 待核问题与证据等级清单,L4,L1,两源交叉核验,核验反向陈述,待核
P1,Wilson 卷,wilson:134160 RGASPI 斯大林档民主党派系统报告,Wilson 待核问题与证据等级清单,L4,L1,RGASPI 原档,翻译复核,待升L1
P2,Hoover 卷,Box 13–14 全宗补查（张君劢卷宗其他相关档）,Hoover 待核问题与证据等级清单,—,L1,胡佛档案馆 Carsun Chang Papers,全宗补查,待查
P2,1945 访延安,戴笠＋钱大钧同日双线呈报核实,证据卡片 003,L4,L1,DRNH 原档影像,双线呈报复核,待升L1
P2,1946 广西取缔,蒋本人 5 件连续电令链核实,证据卡片 002,L4,L1,DRNH 原档影像,电令链复核,待升L1
