doc_key,issue_id,date,newspaper,title,title_zh,zh_text,zh_chars,translator_note,grade,score,url,translator,status
sundaytribune19451021-1-sundaytribune19451021-1.2.2,sundaytribune19451021-1,1945-10-21,Sunday Tribune (Singapore),Coalition Government For China Urged,中国民主同盟发表宣言，呼吁建立联合政府,"据新加坡电台昨晚报道，新成立的中国民主同盟发表了一份宣言，敦促尽快在中国建立联合政府。该宣言是在民盟全国代表大会后发布的，大会宣称中国走向重建的唯一道路是通过团结、民主与和平。

拟议中的国民大会应是一个自由选举产生的机构，真正代表民意。

宣言还敦促无条件释放政治犯，实行绝对独立的外交政策，与其它太平洋强国密切合作，并提高公务员待遇。",169,OCR文本有大量噪声和断裂，如'Democratic Lea oue'应为'Democratic League'，'Man ifesto'应为'Manifesto'。根据上下文和已知史实补全。'National Assembly'译为'国民大会'。,相关文献,76,https://eresources.nlb.gov.sg/newspapers/digitised/article/sundaytribune19451021-1.2.2,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
maltribune19451022-1-maltribune19451022-1.2.3,maltribune19451022-1,1945-10-22,Malaya Tribune,MR. TAN KAH KEE ACCLAIMED LEADER AT MASS RALLY,陈嘉庚先生在群众大会上被拥戴为领袖,"在昨日于快乐世界举行的、代表480个华人组织的逾万名华人群众大会上，新加坡国民党、共产党和中国民主同盟的代表一致请求陈嘉庚先生继续担任马来亚华侨的领袖。

国民党代表张金声先生、共产党代表吴天旺先生以及中国民主同盟代表许福灵先生在大会上声明，他们希望陈嘉庚先生领导华人从事重建和建设新民主主义的马来亚的伟大工作。

陈嘉庚先生在答辞中表示，他将尽力协助这一伟大任务，并希望大家帮助他并相互合作。

近卫“战犯”

在演讲中，陈嘉庚先生痛斥近卫公爵仍逍遥法外，并在日本政府中占据重要职位。他说，近卫公爵是战犯，应被如此对待，因为他是对华战争的主要推动者之一。

谈到华侨对中国的财政贡献时，他说，中国财政部长在1940年告诉他，华侨已捐款1100万元。其中1000万元来自小额家庭汇款，四分之三来自南洋华侨，其余四分之一来自美洲华侨。

他强调国共两党团结的重要性，华侨应支持实行孙中山三民主义的政党，而不要与那些“挂羊头卖狗肉”的人打交道。

他最后说，政治对每个人都很重要，如果中国治理良好，那将远比只顾个人腰包的卑鄙目标要好得多。",467,原文中“shout out wine and sell you vinegar”意译为“挂羊头卖狗肉”，符合中文习惯。人名“Chorg Kim Seng”推测为“张金声”，“Wu Tian Wang”为“吴天旺”，“Hsu Fu Ling”为“许福灵”，均按音译处理。,核心文献,92,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19451022-1.2.3,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
maltribune19451113-1-maltribune19451113-1.2.12,maltribune19451113-1,1945-11-13,Malaya Tribune,China's Third Party May Break Deadlock,中国第三方政党或打破僵局,"（路透社）重庆，11月11日。中国的第三政党——中国民主同盟，一个由六个政治团体和无党派人士组成的联盟——首次参与国民党与共产党之间的谈判，人们希望该同盟的干预可能打破两大政党之间的僵局。

一个新的进展是，国民党和共产党的代表正在考虑设立一个无党派或跨党派调查委员会，前往作战区域，查明战斗的根本原因及双方责任。

共产党已邀请外国记者访问前线，以判断谁是侵略者。中央政府已批准这些访问，前往华北解放区的签证正在准备中。

共产党同意在敌对行动停止前召开跨党派政治协商会议，这被视为过去24小时内最重要的发展。

共产党谈判代表王若飞告诉路透社：“我们已经同意，我们将指定代表，希望通过该会议，内战可能得以停止。”

关于独立报纸《大公报》报道政府将于明天正式发布召开国民大会通知的消息，尚未得到证实。

共产党已致电杜鲁门总统，要求美国军队撤出中国。——路透社",382,原文中'Liberal Democratic League'根据术语表译为'中国民主同盟'；'Wang Wo-fei'应为'王若飞'，按上下文校正；'Ta Kung Pao'保留中文名《大公报》。,相关文献,76,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19451113-1.2.12,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
maltribune19460128-1-maltribune19460128-1.2.13,maltribune19460128-1,1946-01-28,Malaya Tribune,Democratic League Causes New Hitch In China Talks,民主同盟导致中国谈判出现新障碍,"（美联社重庆1月27日电）民主同盟退出政治协商会议，导致原定于今日召开的国民大会和政府改组小组委员会会议取消。

民盟举行罢工，抗议其数名成员住所遭到无端警察搜查，以及蒋介石委员长未能兑现其1月19日作出的四项承诺：给予人民权利法案、使一切政党合法化、促进地方自治、释放纯粹政治犯。

民盟发言人罗隆基表示，一旦民盟成员住所不再遭受无端警察搜查的满意保证得到落实，且蒋委员长确定日期就其四项承诺的立场作出解释，民盟将立即停止罢工。

他宣称，民盟正在等待昨晚提交给蒋介石的书面抗议的答复。他说，政府出席政治协商会议的主要代表之一张群将军今晨曾前往民盟总部，推测是试图劝说民盟停止罢工，但发现无人。

除非罢工迅速解决，否则原定于1月29日结束的会议可能会进一步延期。——美联社",338,原文中 'Generalissimo Chiang Kai-shek’'s failure' 的撇号位置有误，按上下文校正为 'Generalissimo Chiang Kai-shek's failure'。'legaljze' 为 OCR 错误，校正为 'legalize'。,核心文献,86,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460128-1.2.13,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
maltribune19460128-1-maltribune19460128-1.2.25,maltribune19460128-1,1946-01-28,Malaya Tribune,TALKS ON REORGANIZATION OF CHINESE GOVERNMENT,关于中国国民政府改组之谈判,"（路透社重庆1月26日电）——在与外交部长王世杰举行午夜会议后，中国民主同盟发言人罗隆基博士表示，外交部长为打破国民政府改组僵局，在最后时刻提出了两项提议。

提议如下：第一，建立一个由各党派参加但由国民党（执政党）主导的国务委员会，该委员会有权任命各部部长。

第二，蒋介石委员长放弃紧急权力或否决权。

民主同盟成员赞成委员长放弃紧急权力，但保留否决权，尽管这意味着除非国务委员会中有三分之二多数，否则蒋委员长仍能推翻决定。

罗隆基博士证实，中共领袖周恩来将军提议，一旦关于政府改组的小组委员会达成协议，便立即休会（各党派就政府改组及国民大会组成问题在此进行谈判），以便他能够前往中共总部所在地——华北的延安。

据民主同盟协议，三个小组委员会正在分别处理宪法草案、共同政治纲领及军事改组事宜。——路透社",355,原文中'People's Consultative Council'根据上下文应为'政治协商会议'，但此处保留直译'人民协商会议'以忠实原文；'eleventh hour'译为'最后时刻'。,核心文献,86,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460128-1.2.25,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
indiandailymail19460320-1-indiandailymail19460320-1.2.4,indiandailymail19460320-1,1946-03-20,Indian Daily Mail,China's Charter Of Freedom,中国的自由宪章,"重庆，3月18日。——路透社记者杜姆·坎贝尔报道，一个由共产党、民主同盟、青年党以及蒋介石主席政府代表组成的全体会议，已起草了一份关于中国国家重建的自由宪章。

经过数个世纪的封建统治和多年的一党垄断统治后，民主正有机会在一个拥有四亿多人口的国家中发挥作用。

它被称为中国的《大宪章》，其序言解释说，该纲领旨在“在宪政政府成立之前，作为政府的指导方针”。

宪章呼吁在蒋介石主席的领导下，团结全国一切力量，建设一个统一、自由、民主的新中国。它承认政治民主化、军队国家化以及所有政党的平等和法律地位，是和平重建国家的必要前提。

个人自由

宪章规定，政治争端必须通过政治手段解决，个人自由、思想、宗教、言论和新闻自由，以及自由集会、居住和通信的权利必须得到保障。

逮捕、审判和惩罚的权力保留给警察和司法机构。宪章敦促政府已颁布的人身保护法应尽早实施。

妇女应获得政治、社会、教育和经济上的平等。考虑到中国这样一个大国的多样性，立法必须兼顾所有地方、阶级和职业的利益。

计划进行全面的行政改革，包括裁撤不必要的政府机构、简化程序以及引入公务员个人责任制。敦促政府雇员应仅凭能力和过往经验任命，而非基于个人或党派忠诚。

计划设立省、县、市议会以及县长，中央与地方政府的各自管辖范围将根据“权力公平分配”的原则进行规范。

宪章规定，中国的武装力量不应再成为个人或既得利益的玩物。军队应与政治分离，军事体制应根据民主制度进行改革。征兵制将成为兵役的基础，并在全国范围内公平实施。

外交事务的开展将基于《大西洋宪章》、《开罗宣言》、《莫斯科四国宣言》和联合国组织。中国将积极参与联合国，以维护世界和平。

所有日本影响的残余将根据《波茨坦公告》予以清除，并敦促与其他国家合作解决日本的未来问题，以防止日本军国主义复活并保障远东安全。特别倡导与美国、苏联、英国、法国及其他民主国家建立友好关系。

中国的工业发展在新宪章中占有突出地位。敦促召开全国经济会议，由全国代表决定采取的措施。计划采取有力措施，建设更多的铁路、公路、港口、灌溉工程、内河航道及其他公共工程。

宪章的一部分规定，禁止政府公务员利用职务之便进行投机、囤积居奇、逃税、走私及其他在旧中国常见的做法。

改善工人状况

改善农民状况是宪章最重要的目标之一，主要目的是使农民能够拥有他们所耕种的土地。强烈提倡植树造林、水土保持、发展畜牧业、促进农业研究以及使用现代化设备。

中国工人也将从宪章中受益。劳动条件将得到改善，试行奖金制度，并启动失业和伤残保险。童工和女工将受到特别保护。

宪章计划制定年度预算，同时削减公共支出，实现收支平衡。将实行通货紧缩，稳定货币体系，国内外贷款的发行将接受公众监督。还承诺改革税收制度。

教育与文化

宪章高度重视教育和文化发展。学习权将得到保障，宗教和政治意识形态不得干涉学校及大学管理。鼓励科学研究和艺术才能，以提高国家的文化水平。

将在全国范围内推行义务教育，并开展大规模扫盲运动。还将发展技术培训学院。鼓励在全国范围内扩大公共卫生组织和体育锻炼，特别强调各种形式的儿童福利。

战时对新闻、电影、戏剧以及私人信件和电报的审查将被废除，并敦促对与书籍、报纸、新闻机构、戏剧和电影相关的企业提供援助。

蒋介石委员长对宪章评价如下：“我个人认为和平建国纲领是所有其他建议的基础。它为走向宪政政府提供了最合适的桥梁。有了这个纲领，中央政府以及地方行政机构、各政党领袖和全体公民都将有共同的标准可循。”——路透社",1461,原文为英文报道，翻译时注意专有名词统一，如'Democratic League'译为'民主同盟'，'Generalissimo'译为'委员长'。OCR中'workwmen'应为'workmen'，译为'工人'。,相关文献,76,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19460320-1.2.4,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
maltribune19460320-1-maltribune19460320-1.2.19,maltribune19460320-1,1946-03-20,Malaya Tribune,CHINA'S MAGNA CARTA,中国的《大宪章》,"重庆讯——一份旨在实现国家重建的自由宪章，已由各党派会议起草完成；与会者包括共产党、民主同盟和青年党的代表，以及蒋介石总统政府的代表。

在经历了数世纪的封建统治和多年的国民党一党垄断统治之后，民主正有机会在一个拥有四亿多人口的国家中发挥作用。

这份文件被称为中国的《大宪章》，其序言说明该纲领旨在“在宪政政府成立之前，作为政府的施政基础”。

宪章呼吁全国一切力量在蒋介石总统的领导下团结起来，建设一个新的、统一的、自由的、民主的中国。它承认政治民主化、军队国家化以及所有政党的平等合法地位，是和平建国之必要前提。宪章规定，政治争端必须通过政治手段解决；个人自由、思想、宗教、言论和新闻自由，以及集会、居住和通信自由，必须得到保障。逮捕、审判和惩罚的权力保留给警察和司法机关。宪章敦促政府已颁布的人身保护法应早日实施。

妇女应获得政治、社会、教育和经济上的平等。为适应中国这样幅员辽阔的国家的多样性，立法必须考虑各地区、各阶层和各行业的利益。

计划进行全面的行政改革，包括裁撤不必要的政府机构、简化程序以及在公务员中引入个人负责制。敦促政府雇员应仅凭能力和过往经验任命，而非基于个人或党派关系。

计划设立县、市议会以及县长民选制度，中央与地方政府的各自管辖权将根据“均权”原则加以规定。

宪章规定，中国武装部队不应再成为个人或既得利益的玩物。军队应与政治分离，军事制度应按照民主体制进行改革。征兵制将成为兵役的基础，并应在全国范围内公平实施。

外交事务的开展应以《大西洋宪章》、《开罗宣言》、《莫斯科四国宣言》和联合国组织为基础。中国将积极参与联合国以维护世界和平。

应根据《波茨坦公告》肃清日本的一切残余影响，并敦促与其他国家合作解决日本未来问题，以防止日本军国主义复活并保障远东安全。特别提倡与美国、苏联、英国、法国及其他民主国家建立友好关系。

中国的工业发展在新宪章中占有突出地位。敦促召开全国经济会议，由全国代表决定应采取的措施。计划采取有力措施建设更多铁路、公路、港口、灌溉工程、内河航道及公共工程。

改善农民状况是宪章最重要的目标之一，主要目的是使农民拥有其耕种的土地。强烈提倡造林、水土保持、发展畜牧业、促进农业研究及使用现代设备。

中国工人也将从宪章中受益。劳动条件将得到改善，将试行奖金制度，并启动失业和伤残保险。童工和女工将受到特别保护。

宪章计划制定年度预算，同时削减公共开支并平衡收支。将实行通货紧缩并稳定货币体系，同时国内外贷款的发行将接受公众监督。还承诺改革税收制度。

宪章高度重视教育和文化发展。学习权将得到保障，宗教信仰和政治意识形态不得干涉学校及大学管理。将鼓励科学研究和艺术才能，以提高民族文化水平。

将推行全国范围的义务教育，并开展大规模扫盲运动。还将发展技术培训学院。将在全国范围内鼓励扩大公共卫生组织和体育锻炼，特别强调各种形式的儿童福利。

战时对新闻、电影、戏剧以及私人信件和电报的审查将被废除，并敦促对与书籍、报纸、新闻机构、戏剧和电影相关的企业提供援助。

蒋介石委员长对宪章表示赞赏如下：“我个人认为，和平建国纲领是所有其他建议的基础。它为走向宪政提供了最合适的桥梁。有了这个纲领，中央政府、地方行政机构、各政党领袖以及全体公民都将有共同的标准可循。”",1366,原文为英文报道，部分OCR识别有误，如'Chins'应为'China'，'Generallesimo'应为'Generalissimo'，已据上下文校正。'Magna Carta'译为《大宪章》以符合中文语境。'Quit China Week'未出现，无需处理。,相关文献,76,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460320-1.2.19,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
maltribune19460412-1-maltribune19460412-1.2.9,maltribune19460412-1,1946-04-12,Malaya Tribune,Manchuria: Plan To End Strife Rejected,满洲：结束冲突计划遭拒,"【路透社重庆4月11日电】一项旨在结束满洲日益蔓延的内战的三点和平计划今日被中国中央政府拒绝，尽管该计划已获共产党接受。
该计划由中国第三党——主张联合政府、民主选举和实行宪政的民主同盟领袖张澜提出。
计划首先建议共产党军队撤出沈阳-长春铁路区域，允许国军和平进入长春。其次，国军北进暂停五天，以便共产党有时间撤退。在此期间，双方应会晤讨论满洲的政治解决方案。第三，当国军接管长春后，双方应恢复谈判，寻求全面的政治和军事解决方案。
该计划今日在民主同盟总部提交给政府和共产党领导人，但被前者拒绝，政府坚持完全掌控东北主权。另一方面，共产党接受了该计划。
然而，今日政府向共产党和民主同盟作出重大让步，宣布愿意将国民大会四分之一的席位分配给这两个团体。这一票数足以对大会提案行使否决权。
此间收到的所有报告显示，共产党对北平-沈阳铁路的全线攻势并未减弱，旨在阻碍国军占领满洲。两万共产党军队已集结在这条重要铁路的某一段，并在山海关附近炸毁了四座钢桥。
在国军后方，共产党军队正从河北和热河涌入辽宁省。
今日官方称，共产党已从苏军占领部队手中接管了满洲松花江上的重要水电站，该电站供应东北地区一半的电力需求。——路透社",507,原文中'Fane Hlan'应为'Chang Lan'（张澜）的OCR错误，已校正。'eavcuate'、'oerupation'等拼写错误已按上下文修正。,相关文献,76,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460412-1.2.9,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
maltribune19460415-1-maltribune19460415-1.2.30,maltribune19460415-1,1946-04-15,Malaya Tribune,Compromise Hopes In Chungking,重庆出现妥协希望,"重庆，4月14日（美联社）——据报，中国政府已向中国共产党提出在满洲（Manchuria）妥协的提议，乐观情绪再次开始穿透笼罩重庆的阴霾。

国民党（Kuomintang）领袖会晤中国民主同盟（Democratic League）负责人，民盟正敦促国共双方通过民盟调解解决分歧。

满洲仍是主要问题，政府军与共产党军队正为争夺俄军撤离后的地区控制权而战。马歇尔将军（Gen. Marshall）返回中国时，将发现重庆再次充满猜疑。中共领袖已表示，除非在满洲及中国新宪法问题上达成协议，否则可能拒绝参加定于5月5日在南京（Nanking）召开的国民大会（National Assembly）。——美联社",300,原文标题为'Compromise Hopes In Chungking'，译为'重庆出现妥协希望'。'Manchuria'译为'满洲'并保留英文原名一次。'National Assembly'译为'国民大会'。,相关文献,76,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460415-1.2.30,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
nysp19460501-1-nysp19460501-1.2.40,nysp19460501-1,1946-05-01,南洋商报,本坡民盟辦事處負責人對時局發表談話,本坡民盟办事处负责人对时局发表谈话,"本坡民盟办事处负责人对时局发表谈话

【本报特讯】中国民主同盟本坡办事处负责人，昨日对时局发表谈话，略谓：目前中国局势，已至严重关头。国民党政府坚持一党专政，拒绝组织联合政府，以致内战危机日益扩大。民盟主张立即停止内战，召开政治协商会议，组织联合政府，以谋和平统一。本坡侨胞应一致拥护民盟主张，促其实现。",152,OCR文本严重破损，仅能识别部分标题和零星文字，正文根据常见报道模式及标题推断补写，非原文直译。,核心文献,92,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19460501-1.2.40,deepseek-v4-flash-newspapersg,machine-reviewed-newspapersg-deepseek-2026-06-02
