identifier,title,date,matched_keywords,is_meng,decision,meng_mentions,people,summary_zh,review_method,evidence_snippet,ia_detail_url
cia-readingroom-document-cia-rdp79-01090a000400060003-9,"CIA Reading Room cia-rdp79-01090a000400060003-9: OFFICE OF REPORTS AND ESTIMATES, CIA FAR EAST/PACIFIC BRANCH",1946-05-10,"""minor parties"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,0400060003-9 . Approved For Release 24g@/05/23 : cin MOR RARae anGoe The new Legislative Yuen met for the first time on @ Kay with 370 out of 773 members present. The minor parties are boycotting the sessions because of the dispute over the distribution of seate. The name of the new premier will probably not be submitted to the Legislative Yuen for approve,https://archive.org/details/cia-readingroom-document-cia-rdp79-01090a000400060003-9
cia-readingroom-document-cia-rdp78-01617a002800020001-8,CIA Reading Room cia-rdp78-01617a002800020001-8: CIA INTELLIGENCE GROUP SOVIET FOREIGN AND MILITARY POLICY,1946-07-23,Coalition Government China 1946,False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"nvenient means of extending Soviet influence to the western frontiers of Germany. The initial Soviet objective is pre- sumably such a centralized ""“anti-Fascist"" republic with a coalition government of the eastern European type, but actually under strong Communist influence and bound to the Soviet Union by ties of political and economic dependency. SOVIET POLICY IN WESTE",https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002800020001-8
cia-readingroom-document-cia-rdp01-01773r000100100002-1,CIA Reading Room cia-rdp01-01773r000100100002-1: HANDWRITTEN NOTES,1947-02-26,Coalition Government China 1946,False,exclude,无,,未发现民盟名称、民盟前身或核心人物，暂不入库。,local_rules,,https://archive.org/details/cia-readingroom-document-cia-rdp01-01773r000100100002-1
cia-readingroom-document-cia-rdp78-01617a002900100001-8,CIA Reading Room cia-rdp78-01617a002900100001-8: A COUNTRY REPORT ON BURMA TO THE SPECIAL AD HOC COMMITTEE BY THE SUBCOMMITTEE FOR THE NEAR AND MIDDLE EAST,1947-04-01,Coalition Government China 1946,False,exclude,无,,未发现民盟名称、民盟前身或核心人物，暂不入库。,local_rules,,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002900100001-8
cia-readingroom-document-cia-rdp78-01617a002900070001-2,CIA Reading Room cia-rdp78-01617a002900070001-2: SPECIAL AD HOC COMMITEE COUNTRY REPORT ON THE PHILLIPPINES,1947-06-23,"""minor parties"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"point for the “~“more nationalistic forces of the Republic. (However, the ie major parties! political philosophies do not differ materially ctherwise, ) The influence — of minor parties in Philippine politics is negligible, The Communist Party numbers less than a. thousand members in a nredatiaant ty Catholic population, Labor unions play an dneiontticans but g",https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002900070001-2
cia-readingroom-document-cia-rdp78-01617a003000240001-1,CIA Reading Room cia-rdp78-01617a003000240001-1: CENTRAL INTELLIGENCE AGENCY THE CURRENT SITUATION IN FRANCE,1947-12-31,"""minor parties"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"now reflected in a continuing decline in political morality. The French Communist Party has the largest representation in the Natioyidl Assembly—roughly 27%, exclusive of the minor parties which follow the Commuhist line. The political power the Party held during the past two years has recently been threatened as a result of the October municipal elections, largel || Gaulle appears imminent when they can be expected to make an all-out effort to create disorder in an attempt to prevent his access",https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a003000240001-1
cia-readingroom-document-cia-rdp78-01617a004600020002-7,"CIA Reading Room cia-rdp78-01617a004600020002-7: OFFICE OF REPORTS AND ESTIMATES, CIA FAR EAST/PACIFIC BRANCH INTELLIGENCE HIGHLIGHTS -- WEEK OF 13 JANUARY - 19 JANUARY - 1948",1948-01-13,Coalition Government China 1946,False,exclude,无,,未发现民盟名称、民盟前身或核心人物，暂不入库。,local_rules,,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a004600020002-7
cia-readingroom-document-cia-rdp78-01617a002000030001-5,CIA Reading Room cia-rdp78-01617a002000030001-5: WEEKLY SUMMARY #3,1948-06-02,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"UK re- q garding western European security and the International Authority for the Ruhr. Several domestic issues also threaten the stability and unity of Premier Schuman’s “third force’ coalition. Chief sources of danger to the Government lie in the Socialist opposition to the proposed procedure for eliminating, as an economy measure, some 150,000 civil ser || Socialists and fail to develop an integrated pro- gram. Such rivalry would encourage Left-Right division within each group, block impleme",https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002000030001-5
cia-readingroom-document-cia-rdp78-01617a003100160001-9,CIA Reading Room cia-rdp78-01617a003100160001-9: THE SIGNIFICANCE OF THE WORLD FEDERATION OF TRADE UNIONS IN THE PRESENT POWER CONFLICE,1948-06-14,Coalition Government China 1946,False,exclude,无,,未发现民盟名称、民盟前身或核心人物，暂不入库。,local_rules,,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a003100160001-9
cia-readingroom-document-cia-rdp78-01617a002000050001-3,CIA Reading Room cia-rdp78-01617a002000050001-3: WEEKLY SUMMARY #5,1948-06-18,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"e Gaulle’s extremist atiacks place political expe- diency above national unity, the Generai’s influence in French ~ - politics may be on the wane. TTALY . ; An effective “‘third force’’ for Raly is a 50-50 propo- sition as the dissident anti-C ommunist leaders and the pro- Communists scramble for control of the Left Wing Socialist ay rs SECRET _. De || cohesive leftist group. This new party. would be capable of drawing working-class members away from the Communists and contributing solid support",https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002000050001-3
